Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DDTTests,Chrome 69.0.3497.100,Data Driven Test,2018-10-23 21:33:30,2018-10-23 21:34:00,29.670s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-23 21:33:31,2018-10-23 21:33:42,10.942s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 21:33:32,2018-10-23 21:33:37,5.193s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:33:37,2018-10-23 21:33:37,0.486s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 21:33:37,2018-10-23 21:33:37,0.069s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 21:33:37,2018-10-23 21:33:37,0.135s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-23 21:33:37,2018-10-23 21:33:38,0.069s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 21:33:38,2018-10-23 21:33:38,0.218s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 21:33:38,2018-10-23 21:33:38,0.311s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:33:38,2018-10-23 21:33:38,0.343s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 21:33:38,2018-10-23 21:33:39,0.181s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-23 21:33:39,2018-10-23 21:33:41,2.030s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-23 21:33:41,2018-10-23 21:33:42,1.294s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-23 21:33:42,2018-10-23 21:33:52,9.589s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 21:33:42,2018-10-23 21:33:47,5.135s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:33:47,2018-10-23 21:33:48,0.423s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 21:33:48,2018-10-23 21:33:48,0.040s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 21:33:48,2018-10-23 21:33:48,0.131s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-23 21:33:48,2018-10-23 21:33:48,0.032s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 21:33:48,2018-10-23 21:33:48,0.176s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 21:33:48,2018-10-23 21:33:48,0.154s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:33:48,2018-10-23 21:33:48,0.335s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 21:33:48,2018-10-23 21:33:49,0.199s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-23 21:33:49,2018-10-23 21:33:51,2.003s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-23 21:33:51,2018-10-23 21:33:52,0.941s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-23 21:33:52,2018-10-23 21:34:00,8.476s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 21:33:52,2018-10-23 21:33:55,3.941s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:33:55,2018-10-23 21:33:56,0.377s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 21:33:56,2018-10-23 21:33:56,0.059s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 21:33:56,2018-10-23 21:33:56,0.118s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-23 21:33:56,2018-10-23 21:33:56,0.040s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 21:33:56,2018-10-23 21:33:56,0.187s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 21:33:56,2018-10-23 21:33:56,0.171s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 21:33:56,2018-10-23 21:33:57,0.432s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 21:33:57,2018-10-23 21:33:57,0.189s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-23 21:33:57,2018-10-23 21:33:59,2.001s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-23 21:33:59,2018-10-23 21:34:00,0.942s,PASSED
