Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DragAndDropTestSuite,Chrome 69.0.3497.100,,2018-10-31 00:29:44,2018-10-31 00:29:53,9.418s,PASSED
,,,,,,
Test Cases/DragAndDrop/DragAndDropExample,Chrome 69.0.3497.100,,2018-10-31 00:29:44,2018-10-31 00:29:53,8.307s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-31 00:29:45,2018-10-31 00:29:49,4.073s,PASSED
maximizeWindow,Chrome 69.0.3497.100,,2018-10-31 00:29:49,2018-10-31 00:29:50,1.563s,PASSED
waitForPageLoad,Chrome 69.0.3497.100,,2018-10-31 00:29:50,2018-10-31 00:29:50,0.061s,PASSED
dragAndDropToObject,Chrome 69.0.3497.100,,2018-10-31 00:29:50,2018-10-31 00:29:52,1.300s,PASSED
takeScreenshot,Chrome 69.0.3497.100,,2018-10-31 00:29:52,2018-10-31 00:29:53,1.015s,PASSED
