Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Regression,Chrome 69.0.3497.100,,2018-10-10 10:39:59,2018-10-10 10:40:25,26.107s,PASSED
,,,,,,
Test Cases/ValidateLoginWithInvalidData,Chrome 69.0.3497.100,Another Test,2018-10-10 10:40:00,2018-10-10 10:40:13,13.238s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 10:40:01,2018-10-10 10:40:10,8.952s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 10:40:10,2018-10-10 10:40:11,1.808s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-10 10:40:11,2018-10-10 10:40:11,0.082s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-10 10:40:11,2018-10-10 10:40:12,0.216s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-10 10:40:12,2018-10-10 10:40:12,0.054s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 10:40:12,2018-10-10 10:40:12,0.374s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 10:40:12,2018-10-10 10:40:12,0.321s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 10:40:12,2018-10-10 10:40:13,0.484s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-10 10:40:13,2018-10-10 10:40:13,0.199s,PASSED
Statement - actualMessage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Login/p_Login failed Please ensure)),Chrome 69.0.3497.100,,2018-10-10 10:40:13,2018-10-10 10:40:13,0.099s,PASSED
"Statement - expMessage = ""Login failed! Please ensure the username and password are valid.""",Chrome 69.0.3497.100,,2018-10-10 10:40:13,2018-10-10 10:40:13,0.001s,PASSED
Statement - If (expMessage.equalsIgnoreCase(actualMessage)),Chrome 69.0.3497.100,,2018-10-10 10:40:13,2018-10-10 10:40:13,0.007s,PASSED
,,,,,,
Test Cases/ValidatetheLogin,Chrome 69.0.3497.100,Test,2018-10-10 10:40:13,2018-10-10 10:40:25,12.024s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-10 10:40:14,2018-10-10 10:40:21,7.072s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 10:40:21,2018-10-10 10:40:22,1.761s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-10 10:40:22,2018-10-10 10:40:23,0.054s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-10 10:40:23,2018-10-10 10:40:23,0.171s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-10 10:40:23,2018-10-10 10:40:23,0.066s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 10:40:23,2018-10-10 10:40:23,0.298s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-10 10:40:23,2018-10-10 10:40:23,0.408s,PASSED
click,Chrome 69.0.3497.100,,2018-10-10 10:40:23,2018-10-10 10:40:24,0.487s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-10 10:40:24,2018-10-10 10:40:25,1.273s,PASSED
