Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SanityTest,Firefox 62.0,SanityTest,2018-10-11 09:46:36,2018-10-11 09:46:53,17.636s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin,Firefox 62.0,Test,2018-10-11 09:46:36,2018-10-11 09:46:46,10.216s,PASSED
openBrowser,Firefox 62.0,,2018-10-11 09:46:36,2018-10-11 09:46:44,8.034s,PASSED
click,Firefox 62.0,,2018-10-11 09:46:44,2018-10-11 09:46:45,0.336s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-11 09:46:45,2018-10-11 09:46:45,0.064s,PASSED
verifyTextPresent,Firefox 62.0,,2018-10-11 09:46:45,2018-10-11 09:46:45,0.203s,PASSED
waitForElementPresent,Firefox 62.0,,2018-10-11 09:46:45,2018-10-11 09:46:45,0.024s,PASSED
setText,Firefox 62.0,,2018-10-11 09:46:45,2018-10-11 09:46:45,0.148s,PASSED
setText,Firefox 62.0,,2018-10-11 09:46:45,2018-10-11 09:46:45,0.083s,PASSED
click,Firefox 62.0,,2018-10-11 09:46:45,2018-10-11 09:46:46,0.435s,PASSED
closeBrowser,Firefox 62.0,,2018-10-11 09:46:46,2018-10-11 09:46:46,0.494s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidateLoginWithInvalidData,Firefox 62.0,Another Test,2018-10-11 09:46:46,2018-10-11 09:46:53,6.610s,PASSED
openBrowser,Firefox 62.0,,2018-10-11 09:46:46,2018-10-11 09:46:52,5.241s,PASSED
click,Firefox 62.0,,2018-10-11 09:46:52,2018-10-11 09:46:52,0.358s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-11 09:46:52,2018-10-11 09:46:52,0.043s,PASSED
verifyTextPresent,Firefox 62.0,,2018-10-11 09:46:52,2018-10-11 09:46:52,0.152s,PASSED
waitForElementPresent,Firefox 62.0,,2018-10-11 09:46:52,2018-10-11 09:46:52,0.014s,PASSED
setText,Firefox 62.0,,2018-10-11 09:46:52,2018-10-11 09:46:52,0.074s,PASSED
setText,Firefox 62.0,,2018-10-11 09:46:52,2018-10-11 09:46:52,0.085s,PASSED
click,Firefox 62.0,,2018-10-11 09:46:52,2018-10-11 09:46:53,0.315s,PASSED
verifyTextPresent,Firefox 62.0,,2018-10-11 09:46:53,2018-10-11 09:46:53,0.140s,PASSED
Statement - actualMessage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Login/p_Login failed Please ensure)),Firefox 62.0,,2018-10-11 09:46:53,2018-10-11 09:46:53,0.030s,PASSED
"Statement - expMessage = ""Login failed! Please ensure the username and password are valid.""",Firefox 62.0,,2018-10-11 09:46:53,2018-10-11 09:46:53,0.001s,PASSED
Statement - If (expMessage.equalsIgnoreCase(actualMessage)),Firefox 62.0,,2018-10-11 09:46:53,2018-10-11 09:46:53,0.006s,PASSED
