Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SanityTest,Firefox 62.0,SanityTest,2018-10-10 10:43:07,2018-10-10 10:43:24,17.105s,PASSED
,,,,,,
Test Cases/ValidatetheLogin,Firefox 62.0,Test,2018-10-10 10:43:08,2018-10-10 10:43:17,9.231s,PASSED
openBrowser,Firefox 62.0,,2018-10-10 10:43:08,2018-10-10 10:43:15,7.092s,PASSED
click,Firefox 62.0,,2018-10-10 10:43:15,2018-10-10 10:43:16,0.418s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 10:43:16,2018-10-10 10:43:16,0.057s,PASSED
verifyTextPresent,Firefox 62.0,,2018-10-10 10:43:16,2018-10-10 10:43:16,0.144s,PASSED
waitForElementPresent,Firefox 62.0,,2018-10-10 10:43:16,2018-10-10 10:43:16,0.029s,PASSED
setText,Firefox 62.0,,2018-10-10 10:43:16,2018-10-10 10:43:16,0.087s,PASSED
setText,Firefox 62.0,,2018-10-10 10:43:16,2018-10-10 10:43:16,0.093s,PASSED
click,Firefox 62.0,,2018-10-10 10:43:16,2018-10-10 10:43:16,0.350s,PASSED
closeBrowser,Firefox 62.0,,2018-10-10 10:43:16,2018-10-10 10:43:17,0.466s,PASSED
,,,,,,
Test Cases/ValidateLoginWithInvalidData,Firefox 62.0,Another Test,2018-10-10 10:43:17,2018-10-10 10:43:24,6.905s,PASSED
openBrowser,Firefox 62.0,,2018-10-10 10:43:17,2018-10-10 10:43:23,5.639s,PASSED
click,Firefox 62.0,,2018-10-10 10:43:23,2018-10-10 10:43:23,0.310s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 10:43:23,2018-10-10 10:43:23,0.013s,PASSED
verifyTextPresent,Firefox 62.0,,2018-10-10 10:43:23,2018-10-10 10:43:23,0.146s,PASSED
waitForElementPresent,Firefox 62.0,,2018-10-10 10:43:23,2018-10-10 10:43:23,0.013s,PASSED
setText,Firefox 62.0,,2018-10-10 10:43:23,2018-10-10 10:43:23,0.072s,PASSED
setText,Firefox 62.0,,2018-10-10 10:43:23,2018-10-10 10:43:23,0.087s,PASSED
click,Firefox 62.0,,2018-10-10 10:43:23,2018-10-10 10:43:23,0.284s,PASSED
verifyTextPresent,Firefox 62.0,,2018-10-10 10:43:23,2018-10-10 10:43:24,0.128s,PASSED
Statement - actualMessage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Login/p_Login failed Please ensure)),Firefox 62.0,,2018-10-10 10:43:24,2018-10-10 10:43:24,0.028s,PASSED
"Statement - expMessage = ""Login failed! Please ensure the username and password are valid.""",Firefox 62.0,,2018-10-10 10:43:24,2018-10-10 10:43:24,0.001s,PASSED
Statement - If (expMessage.equalsIgnoreCase(actualMessage)),Firefox 62.0,,2018-10-10 10:43:24,2018-10-10 10:43:24,0.005s,PASSED
