Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DDTTests,Chrome 69.0.3497.100,Data Driven Test,2018-10-23 20:02:29,2018-10-23 20:03:03,34.110s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-23 20:02:29,2018-10-23 20:02:36,6.924s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 20:02:29,2018-10-23 20:02:34,4.232s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:02:34,2018-10-23 20:02:34,0.365s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:34,2018-10-23 20:02:34,0.075s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:34,2018-10-23 20:02:34,0.117s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:34,2018-10-23 20:02:34,0.047s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:02:34,2018-10-23 20:02:34,0.190s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:02:34,2018-10-23 20:02:35,0.222s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:02:35,2018-10-23 20:02:35,0.317s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:35,2018-10-23 20:02:35,0.136s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-23 20:02:35,2018-10-23 20:02:36,0.897s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-23 20:02:36,2018-10-23 20:02:41,5.258s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 20:02:36,2018-10-23 20:02:39,3.300s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:02:39,2018-10-23 20:02:40,0.262s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:40,2018-10-23 20:02:40,0.058s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:40,2018-10-23 20:02:40,0.088s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:40,2018-10-23 20:02:40,0.029s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:02:40,2018-10-23 20:02:40,0.145s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:02:40,2018-10-23 20:02:40,0.141s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:02:40,2018-10-23 20:02:40,0.279s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:40,2018-10-23 20:02:40,0.131s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-23 20:02:40,2018-10-23 20:02:41,0.814s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-23 20:02:41,2018-10-23 20:02:47,5.392s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 20:02:41,2018-10-23 20:02:45,3.335s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:02:45,2018-10-23 20:02:45,0.327s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:45,2018-10-23 20:02:45,0.030s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:45,2018-10-23 20:02:45,0.122s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:45,2018-10-23 20:02:45,0.029s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:02:45,2018-10-23 20:02:45,0.137s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:02:45,2018-10-23 20:02:45,0.133s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:02:45,2018-10-23 20:02:46,0.285s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:46,2018-10-23 20:02:46,0.117s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-23 20:02:46,2018-10-23 20:02:47,0.857s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-23 20:02:47,2018-10-23 20:02:52,5.337s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 20:02:47,2018-10-23 20:02:50,3.255s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:02:50,2018-10-23 20:02:50,0.336s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:50,2018-10-23 20:02:50,0.041s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:50,2018-10-23 20:02:50,0.096s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:02:50,2018-10-23 20:02:50,0.033s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:02:50,2018-10-23 20:02:51,0.205s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:02:51,2018-10-23 20:02:51,0.131s,PASSED
