Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:43,2018-10-23 20:05:43,0.077s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:43,2018-10-23 20:05:43,0.032s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:05:43,2018-10-23 20:05:43,0.154s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:05:43,2018-10-23 20:05:43,0.142s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:05:43,2018-10-23 20:05:44,0.354s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:44,2018-10-23 20:05:44,0.112s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-23 20:05:44,2018-10-23 20:05:46,2.001s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-23 20:05:46,2018-10-23 20:05:47,0.814s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-23 20:05:47,2018-10-23 20:05:54,7.475s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-23 20:05:47,2018-10-23 20:05:50,3.440s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:05:50,2018-10-23 20:05:50,0.303s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:50,2018-10-23 20:05:50,0.029s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:50,2018-10-23 20:05:50,0.091s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:50,2018-10-23 20:05:51,0.028s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:05:51,2018-10-23 20:05:51,0.206s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-23 20:05:51,2018-10-23 20:05:51,0.171s,PASSED
click,Chrome 69.0.3497.100,,2018-10-23 20:05:51,2018-10-23 20:05:51,0.261s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-23 20:05:51,2018-10-23 20:05:51,0.119s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-23 20:05:51,2018-10-23 20:05:53,2.002s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-23 20:05:53,2018-10-23 20:05:54,0.803s,PASSED
