Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
DDTTests,Chrome 69.0.3497.100,Data Driven Test,2018-10-29 14:58:14,2018-10-29 14:58:37,23.565s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-29 14:58:14,2018-10-29 14:58:23,8.852s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 14:58:14,2018-10-29 14:58:18,4.173s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 14:58:18,2018-10-29 14:58:19,0.335s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 14:58:19,2018-10-29 14:58:19,0.073s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-29 14:58:19,2018-10-29 14:58:19,0.121s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 14:58:19,2018-10-29 14:58:19,0.059s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 14:58:19,2018-10-29 14:58:19,0.181s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 14:58:19,2018-10-29 14:58:19,0.150s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 14:58:19,2018-10-29 14:58:20,0.303s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-29 14:58:20,2018-10-29 14:58:20,0.147s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 14:58:20,2018-10-29 14:58:22,2.028s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-29 14:58:22,2018-10-29 14:58:23,0.954s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-29 14:58:23,2018-10-29 14:58:30,7.154s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 14:58:23,2018-10-29 14:58:26,3.106s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 14:58:26,2018-10-29 14:58:26,0.261s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 14:58:26,2018-10-29 14:58:26,0.078s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-29 14:58:26,2018-10-29 14:58:26,0.107s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 14:58:26,2018-10-29 14:58:26,0.033s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 14:58:26,2018-10-29 14:58:27,0.158s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 14:58:27,2018-10-29 14:58:27,0.150s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 14:58:27,2018-10-29 14:58:27,0.289s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-29 14:58:27,2018-10-29 14:58:27,0.120s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 14:58:27,2018-10-29 14:58:29,2.002s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-29 14:58:29,2018-10-29 14:58:30,0.833s,PASSED
,,,,,,
Test Cases/LoginValidation/ValidatetheLogin DDF,Chrome 69.0.3497.100,Test,2018-10-29 14:58:30,2018-10-29 14:58:37,7.143s,PASSED
openBrowser,Chrome 69.0.3497.100,,2018-10-29 14:58:30,2018-10-29 14:58:33,3.050s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 14:58:33,2018-10-29 14:58:33,0.315s,PASSED
verifyElementPresent,Chrome 69.0.3497.100,,2018-10-29 14:58:33,2018-10-29 14:58:33,0.031s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-29 14:58:33,2018-10-29 14:58:33,0.111s,PASSED
waitForElementPresent,Chrome 69.0.3497.100,,2018-10-29 14:58:33,2018-10-29 14:58:34,0.029s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 14:58:34,2018-10-29 14:58:34,0.181s,PASSED
setText,Chrome 69.0.3497.100,,2018-10-29 14:58:34,2018-10-29 14:58:34,0.137s,PASSED
click,Chrome 69.0.3497.100,,2018-10-29 14:58:34,2018-10-29 14:58:34,0.282s,PASSED
verifyTextPresent,Chrome 69.0.3497.100,,2018-10-29 14:58:34,2018-10-29 14:58:34,0.127s,PASSED
delay,Chrome 69.0.3497.100,,2018-10-29 14:58:34,2018-10-29 14:58:36,2.002s,PASSED
closeBrowser,Chrome 69.0.3497.100,,2018-10-29 14:58:36,2018-10-29 14:58:37,0.844s,PASSED
