Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
SanityTest,Firefox 62.0,SanityTest,2018-10-10 10:37:19,2018-10-10 10:37:28,9.113s,ERROR
,,,,,,
Test Cases/ValidateLoginWithInvalidData,Firefox 62.0,Another Test,2018-10-10 10:37:19,2018-10-10 10:37:27,8.295s,ERROR
openBrowser,Firefox 62.0,,2018-10-10 10:37:20,2018-10-10 10:37:26,6.729s,PASSED
click,Firefox 62.0,,2018-10-10 10:37:26,2018-10-10 10:37:27,0.339s,PASSED
verifyElementPresent,Firefox 62.0,,2018-10-10 10:37:27,2018-10-10 10:37:27,0.066s,PASSED
verifyTextPresent,Firefox 62.0,,2018-10-10 10:37:27,2018-10-10 10:37:27,0.149s,PASSED
waitForElementPresent,Firefox 62.0,,2018-10-10 10:37:27,2018-10-10 10:37:27,0.023s,PASSED
setText,Firefox 62.0,,2018-10-10 10:37:27,2018-10-10 10:37:27,0.095s,PASSED
setText,Firefox 62.0,,2018-10-10 10:37:27,2018-10-10 10:37:27,0.066s,PASSED
click,Firefox 62.0,,2018-10-10 10:37:27,2018-10-10 10:37:27,0.299s,PASSED
verifyTextPresent,Firefox 62.0,,2018-10-10 10:37:27,2018-10-10 10:37:27,0.138s,PASSED
Statement - actualMessage = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getText(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Object Repository/Page_Login/p_Login failed Please ensure)),Firefox 62.0,,2018-10-10 10:37:27,2018-10-10 10:37:27,0.031s,PASSED
"Statement - expMessage = ""Login failed! Please ensure the username and password are valid.""",Firefox 62.0,,2018-10-10 10:37:27,2018-10-10 10:37:27,0.001s,PASSED
Statement - If (expMessage.equalsIgnoreCase(expMessage).call(actualMessage)),Firefox 62.0,,2018-10-10 10:37:27,2018-10-10 10:37:27,0.004s,PASSED
